mun,uf,regiao,porc_bf,dilma.vs.2014,pop.2011
SANTO ANTONIO,RN,Nordeste,59.5982,76.4326,22378
SAO BENTO DO NORTE,RN,Nordeste,70.1511,69.2150,2945
SAO BENTO DO TRAIRI,RN,Nordeste,74.5862,69.8310,3956
SAO FERNANDO,RN,Nordeste,50.4487,62.3335,3414
SAO FRANCISCO DO OESTE,RN,Nordeste,52.9310,74.8271,3905
SAO GONCALO DO AMARANTE,RN,Nordeste,43.3029,57.5053,89045
SAO JOAO DO SABUGI,RN,Nordeste,39.4780,78.5784,5940
SAO JOSE DE MIPIBU,RN,Nordeste,43.8744,61.1159,40150
SAO JOSE DO CAMPESTRE,RN,Nordeste,65.4393,72.0449,12385
SAO JOSE DO SERIDO,RN,Nordeste,37.2375,61.8310,4266
SAO MIGUEL,RN,Nordeste,63.2818,78.1412,22314
SAO MIGUEL DO GOSTOSO,RN,Nordeste,50.6600,69.5233,8754
SAO PAULO DO POTENGI,RN,Nordeste,56.6159,61.0476,15999
SAO PEDRO,RN,Nordeste,57.7481,70.1873,6194
SAO RAFAEL,RN,Nordeste,56.4730,71.7341,8105
SAO TOME,RN,Nordeste,59.0385,76.1037,10830
SAO VICENTE,RN,Nordeste,53.3959,71.2676,6059
SENADOR ELOI DE SOUZA,RN,Nordeste,71.9560,72.1330,5684
SENADOR GEORGINO AVELINO,RN,Nordeste,49.3282,64.3078,3972
SERRA DE SAO BENTO,RN,Nordeste,67.3611,77.2814,5734
SERRA DO MEL,RN,Nordeste,70.2761,68.0599,10445
SERRA NEGRA DO NORTE,RN,Nordeste,49.3724,61.7776,7788
SERRINHA,RN,Nordeste,66.7789,67.8609,6530
SERRINHA DOS PINTOS,RN,Nordeste,66.5452,75.1843,4559
SEVERIANO MELO,RN,Nordeste,63.8261,77.9936,5801
SITIO NOVO,RN,Nordeste,53.9594,76.1245,5064
TABOLEIRO GRANDE,RN,Nordeste,52.4638,71.8631,2340
TAIPU,RN,Nordeste,60.6240,71.1578,11860
TANGARA,RN,Nordeste,63.0312,58.5743,14333
TENENTE ANANIAS,RN,Nordeste,62.7863,70.3796,9961
TENENTE LAURENTINO CRUZ,RN,Nordeste,67.2291,74.2244,5483
TIBAU DO SUL,RN,Nordeste,44.2099,48.4947,11665
TIMBAUBA DOS BATISTAS,RN,Nordeste,41.3333,64.9972,2304
TOUROS,RN,Nordeste,58.6599,72.7436,31336
TRIUNFO POTIGUAR,RN,Nordeste,70.6652,66.1479,3347
UMARIZAL,RN,Nordeste,63.1967,75.7381,10626
UPANEMA,RN,Nordeste,62.5540,68.1224,13146
VARZEA,RN,Nordeste,57.6326,69.7004,5254
VENHA VER,RN,Nordeste,78.4103,82.3266,3852
VERA CRUZ,RN,Nordeste,60.9765,49.5096,10888
VICOSA,RN,Nordeste,70.8940,73.2548,1626
VILA FLOR,RN,Nordeste,69.5779,73.2583,2899
AGUA BRANCA,PB,Nordeste,69.2067,79.8061,9532
AGUIAR,PB,Nordeste,60.5787,73.4421,5522
ALAGOA GRANDE,PB,Nordeste,65.8013,61.0056,28427
ALAGOA NOVA,PB,Nordeste,53.7541,51.5037,19766
ALAGOINHA,PB,Nordeste,66.5491,72.2000,13660
ALCANTIL,PB,Nordeste,50.7348,51.1836,5261
ALGODAO DE JANDAIRA,PB,Nordeste,75.9287,85.4969,2379
ALHANDRA,PB,Nordeste,68.2878,51.1787,18168
SAO JOAO DO RIO DO PEIXE,PB,Nordeste,57.6859,74.7883,18199
AMPARO,PB,Nordeste,72.3270,82.1143,2104
APARECIDA,PB,Nordeste,58.5863,74.7866,7756
ARACAGI,PB,Nordeste,65.2078,72.5397,17158
ARARA,PB,Nordeste,53.8226,62.8061,12738
ARARUNA,PB,Nordeste,57.9280,55.0692,19054
AREIA,PB,Nordeste,59.4169,67.4927,23653
AREIA DE BARAUNAS,PB,Nordeste,63.5246,67.6346,1914
AREIAL,PB,Nordeste,56.7914,58.9103,6504
AROEIRAS,PB,Nordeste,71.2415,73.0597,19049
ASSUNCAO,PB,Nordeste,59.9808,65.1163,3566
BAIA DA TRAICAO,PB,Nordeste,75.4771,63.7849,8130
BANANEIRAS,PB,Nordeste,59.8820,63.8702,21801
BARAUNA,PB,Nordeste,72.2308,69.8921,4301
BARRA DE SANTANA,PB,Nordeste,47.0467,59.1082,8198
BARRA DE SANTA ROSA,PB,Nordeste,63.5409,70.0090,14287
BARRA DE SAO MIGUEL,PB,Nordeste,53.7048,63.5676,5646
BAYEUX,PB,Nordeste,39.0814,52.1227,100137
BELEM,PB,Nordeste,56.2913,60.3790,17131
BELEM DO BREJO DO CRUZ,PB,Nordeste,67.3957,62.4316,7154
BERNARDINO BATISTA,PB,Nordeste,70.4631,76.9231,3115
BOA VENTURA,PB,Nordeste,60.0536,72.6213,5687
BOA VISTA,PB,Nordeste,51.3873,52.4216,6323
BOM JESUS,PB,Nordeste,58.7983,80.2469,2416
BOM SUCESSO,PB,Nordeste,62.2604,80.2407,5016
BONITO DE SANTA FE,PB,Nordeste,60.2999,67.5344,10925
BOQUEIRAO,PB,Nordeste,52.9981,65.4121,16967
IGARACY,PB,Nordeste,59.5376,69.0066,6145
BORBOREMA,PB,Nordeste,62.7240,63.2493,5141
BREJO DO CRUZ,PB,Nordeste,60.5676,66.9467,13220
BREJO DOS SANTOS,PB,Nordeste,63.0887,68.8878,6218
CAAPORA,PB,Nordeste,67.0770,53.9210,20510
CABACEIRAS,PB,Nordeste,51.2599,56.6989,5093
CABEDELO,PB,Nordeste,32.5424,43.1363,59104
CACHOEIRA DOS INDIOS,PB,Nordeste,57.4124,77.4882,9617
CACIMBA DE AREIA,PB,Nordeste,65.9554,77.5410,3574
CACIMBA DE DENTRO,PB,Nordeste,67.3403,69.7690,16743
CACIMBAS,PB,Nordeste,74.8894,74.8758,6847
CAICARA,PB,Nordeste,63.3810,62.6972,7212
CAJAZEIRAS,PB,Nordeste,43.2143,70.3249,58794
CAJAZEIRINHAS,PB,Nordeste,78.5194,73.2256,3048
CALDAS BRANDAO,PB,Nordeste,63.9460,68.2557,5674
CAMALAU,PB,Nordeste,62.4663,85.5981,5771
CAMPINA GRANDE,PB,Nordeste,30.8095,32.1011,387644
CAPIM,PB,Nordeste,75.8385,55.1885,5711
CARAUBAS,PB,Nordeste,56.5071,73.0147,3925
CARRAPATEIRA,PB,Nordeste,68.8136,85.9910,2410
CASSERENGUE,PB,Nordeste,64.4068,75.7002,7096
CATINGUEIRA,PB,Nordeste,65.4935,52.0819,4817
CATOLE DO ROCHA,PB,Nordeste,52.0968,63.7281,28922
CATURITE,PB,Nordeste,54.0256,68.6320,4571
CONCEICAO,PB,Nordeste,64.6127,76.6869,18397
CONDADO,PB,Nordeste,71.6552,70.3118,6591
CONDE,PB,Nordeste,62.2903,62.0304,21783
CONGO,PB,Nordeste,64.6820,77.4908,4690
COREMAS,PB,Nordeste,63.5946,72.9642,15151
COXIXOLA,PB,Nordeste,55.9524,70.3221,1787
CRUZ DO ESPIRITO SANTO,PB,Nordeste,71.7686,66.9971,16158
CUBATI,PB,Nordeste,61.4208,62.2686,6903
CUITE,PB,Nordeste,59.2605,60.5805,19981
CUITEGI,PB,Nordeste,63.6459,54.0690,6861
CUITE DE MAMANGUAPE,PB,Nordeste,69.9826,61.9705,6208
CURRAL DE CIMA,PB,Nordeste,71.4676,59.0139,5201
CURRAL VELHO,PB,Nordeste,61.5741,56.0327,2501
DAMIAO,PB,Nordeste,73.6192,75.8839,4946
DESTERRO,PB,Nordeste,68.2958,78.7854,8014
VISTA SERRANA,PB,Nordeste,60.6987,64.3398,3543
DIAMANTE,PB,Nordeste,68.1406,72.7945,6593
DONA INES,PB,Nordeste,58.9648,73.8608,10477
DUAS ESTRADAS,PB,Nordeste,61.5456,55.3233,3625
EMAS,PB,Nordeste,68.4982,71.5417,3337
ESPERANCA,PB,Nordeste,56.5681,55.7592,31320
FAGUNDES,PB,Nordeste,68.3805,68.0113,11368
FREI MARTINHO,PB,Nordeste,46.6667,58.4139,2934
GADO BRAVO,PB,Nordeste,81.4266,77.5338,8365
GUARABIRA,PB,Nordeste,34.5434,48.9190,55657
GURINHEM,PB,Nordeste,65.9173,64.2332,13875
GURJAO,PB,Nordeste,54.0340,73.6842,3188
IBIARA,PB,Nordeste,67.3666,73.0896,6004
IMACULADA,PB,Nordeste,63.3173,74.7317,11388
INGA,PB,Nordeste,60.3250,65.4780,18235
ITABAIANA,PB,Nordeste,60.0134,64.2443,24426
ITAPORANGA,PB,Nordeste,50.1868,64.6159,23351
ITAPOROROCA,PB,Nordeste,64.6003,50.6578,17179
ITATUBA,PB,Nordeste,67.3721,72.4967,10265
JACARAU,PB,Nordeste,65.9926,55.7842,13967
JERICO,PB,Nordeste,60.9872,72.6693,7548
JOAO PESSOA,PB,Nordeste,28.7983,40.0480,733155
JUAREZ TAVORA,PB,Nordeste,68.8157,74.9736,7506
JUAZEIRINHO,PB,Nordeste,62.7315,59.9978,16923
JUNCO DO SERIDO,PB,Nordeste,61.0026,60.9688,6695
JURIPIRANGA,PB,Nordeste,66.3567,63.3269,10283
JURU,PB,Nordeste,66.7035,81.3967,9810
LAGOA,PB,Nordeste,68.9734,74.8796,4669
LAGOA DE DENTRO,PB,Nordeste,66.4361,68.8118,7392
LAGOA SECA,PB,Nordeste,56.9777,46.3198,26035
LASTRO,PB,Nordeste,74.3448,82.1442,2820
LIVRAMENTO,PB,Nordeste,67.1072,72.3307,7177
LOGRADOURO,PB,Nordeste,67.0290,64.1058,3985
LUCENA,PB,Nordeste,58.4139,59.4412,11882
MAE D AGUA,PB,Nordeste,65.5055,70.4205,4009
MALTA,PB,Nordeste,53.3537,73.3119,5607
MAMANGUAPE,PB,Nordeste,52.4872,47.0831,42602
MANAIRA,PB,Nordeste,63.9467,78.3653,10781
MARCACAO,PB,Nordeste,77.0098,68.4783,7717
MARI,PB,Nordeste,59.7912,65.8269,21216
MARIZOPOLIS,PB,Nordeste,61.5165,74.3783,6216
MASSARANDUBA,PB,Nordeste,63.4411,60.2245,12995
MATARACA,PB,Nordeste,70.9100,56.8497,7526
MATINHAS,PB,Nordeste,70.2465,60.1184,4340
MATO GROSSO,PB,Nordeste,56.7455,79.4633,2724
MATUREIA,PB,Nordeste,61.7085,65.7206,6009
MOGEIRO,PB,Nordeste,67.1275,70.4073,12468
MONTADAS,PB,Nordeste,63.1834,59.0551,5069
MONTE HOREBE,PB,Nordeste,53.2517,79.6531,4539
MONTEIRO,PB,Nordeste,51.8545,69.5214,31095
MULUNGU,PB,Nordeste,64.8216,68.9163,9506
NATUBA,PB,Nordeste,50.8600,62.6113,10567
NAZAREZINHO,PB,Nordeste,70.6635,85.4885,7266
NOVA FLORESTA,PB,Nordeste,62.2749,67.7343,10524
NOVA OLINDA,PB,Nordeste,66.1098,71.8896,6041
NOVA PALMEIRA,PB,Nordeste,56.1832,71.9141,4422
OLHO D AGUA,PB,Nordeste,69.4295,62.4233,6862
OLIVEDOS,PB,Nordeste,63.9282,60.7902,3661
OURO VELHO,PB,Nordeste,56.9607,69.3036,2937
PARARI,PB,Nordeste,62.4378,66.6061,1243
PASSAGEM,PB,Nordeste,63.0952,69.8291,2253
PATOS,PB,Nordeste,43.8741,50.5727,101359
PAULISTA,PB,Nordeste,60.1700,63.6672,11829
PEDRA BRANCA,PB,Nordeste,60.5847,63.3999,3724
PEDRA LAVRADA,PB,Nordeste,55.3819,57.2139,7541
PEDRAS DE FOGO,PB,Nordeste,60.3196,61.5705,27389
PIANCO,PB,Nordeste,60.5719,61.7086,15511
PICUI,PB,Nordeste,57.8734,67.7002,18248
PILAR,PB,Nordeste,58.4068,68.7823,11262
PILOES,PB,Nordeste,72.4359,67.4789,6915
PILOEZINHOS,PB,Nordeste,69.1228,59.3156,5134
PIRPIRITUBA,PB,Nordeste,64.5578,60.8754,10336
PITIMBU,PB,Nordeste,74.5319,59.8305,17262
POCINHOS,PB,Nordeste,63.4366,60.5200,17198
POCO DANTAS,PB,Nordeste,70.8375,81.5570,3746
POCO DE JOSE DE MOURA,PB,Nordeste,52.4853,76.5495,4013
POMBAL,PB,Nordeste,52.6945,50.9469,32122
PRATA,PB,Nordeste,57.7158,58.9744,3887
PRINCESA ISABEL,PB,Nordeste,47.9222,62.4149,21518
PUXINANA,PB,Nordeste,59.2381,58.6976,12996
QUEIMADAS,PB,Nordeste,56.6678,58.2427,41298
QUIXABA,PB,Nordeste,61.1628,65.4365,1730
REMIGIO,PB,Nordeste,59.7481,73.7796,17786
PEDRO REGIS,PB,Nordeste,60.4988,52.7518,5795
RIACHAO,PB,Nordeste,63.9785,55.7526,3303
RIACHAO DO BACAMARTE,PB,Nordeste,61.6106,66.8763,4289
RIACHAO DO POCO,PB,Nordeste,69.7436,62.3637,4201
RIACHO DE SANTO ANTONIO,PB,Nordeste,60.4651,62.0382,1752
RIACHO DOS CAVALOS,PB,Nordeste,71.7753,77.3015,8334
RIO TINTO,PB,Nordeste,61.9019,54.0189,23028
SALGADINHO,PB,Nordeste,55.5904,58.5742,3561
SALGADO DE SAO FELIX,PB,Nordeste,64.7508,67.0066,11971
SANTA CECILIA,PB,Nordeste,62.0575,54.2877,6643
SANTA CRUZ,PB,Nordeste,51.7423,80.2969,6471
SANTA HELENA,PB,Nordeste,61.4784,81.9383,5352
SANTA INES,PB,Nordeste,78.9588,86.8178,3539
SANTA LUZIA,PB,Nordeste,51.3669,50.5953,14774
SANTANA DE MANGUEIRA,PB,Nordeste,62.1277,78.6984,5298
SANTANA DOS GARROTES,PB,Nordeste,58.1628,65.7223,7219
SANTAREM,PB,Nordeste,60.5333,68.1612,2619
SANTA RITA,PB,Nordeste,47.3112,53.6940,121166
SANTA TERESINHA,PB,Nordeste,64.9525,58.4636,4570
SANTO ANDRE,PB,Nordeste,64.1058,76.6985,2626
SAO BENTO,PB,Nordeste,48.4669,45.1759,31237
SAO BENTINHO,PB,Nordeste,55.5463,58.4466,4181
SAO DOMINGOS DO CARIRI,PB,Nordeste,49.3724,50.1291,2438
SAO DOMINGOS,PB,Nordeste,61.6970,72.4905,2883
SAO FRANCISCO,PB,Nordeste,62.1514,71.9455,3357
SAO JOAO DO CARIRI,PB,Nordeste,52.7356,66.2936,4329
SAO JOAO DO TIGRE,PB,Nordeste,67.4740,74.7168,4390
SAO JOSE DA LAGOA TAPADA,PB,Nordeste,68.4827,72.4108,7562
SAO JOSE DE CAIANA,PB,Nordeste,69.5205,74.1874,6031
SAO JOSE DE ESPINHARAS,PB,Nordeste,60.1695,70.2312,4734
SAO JOSE DOS RAMOS,PB,Nordeste,72.0915,77.5112,5555
SAO JOSE DE PIRANHAS,PB,Nordeste,53.6599,81.8054,19190
SAO JOSE DE PRINCESA,PB,Nordeste,70.1275,82.0502,4162
SAO JOSE DO BONFIM,PB,Nordeste,65.7208,67.2637,3269
SAO JOSE DO BREJO DO CRUZ,PB,Nordeste,57.1090,68.1653,1696
SAO JOSE DO SABUGI,PB,Nordeste,55.5556,60.6753,4019
SAO JOSE DOS CORDEIROS,PB,Nordeste,55.2904,78.4247,3974
SAO MAMEDE,PB,Nordeste,47.6130,55.2224,7728
SAO MIGUEL DE TAIPU,PB,Nordeste,79.7518,64.9612,6743
SAO SEBASTIAO DE LAGOA DE ROCA,PB,Nordeste,57.1840,50.0937,11119
SAO SEBASTIAO DO UMBUZEIRO,PB,Nordeste,51.5326,79.7619,3262
SAPE,PB,Nordeste,65.9822,66.6981,50358
SERIDO,PB,Nordeste,75.9725,64.8300,10317
SERRA BRANCA,PB,Nordeste,52.2206,67.4157,13038
SERRA DA RAIZ,PB,Nordeste,50.7813,46.9343,3187
SERRA GRANDE,PB,Nordeste,68.1765,79.4249,2985
SERRA REDONDA,PB,Nordeste,56.9083,65.5309,7031
SERRARIA,PB,Nordeste,70.0117,55.4585,6206
SERTAOZINHO,PB,Nordeste,50.5058,55.3426,4468
SOBRADO,PB,Nordeste,69.9163,66.1768,7411
SOLANEA,PB,Nordeste,64.3639,60.8987,26505
SOLEDADE,PB,Nordeste,57.3750,55.8331,13868
SOSSEGO,PB,Nordeste,69.5321,70.5202,3213
SOUSA,PB,Nordeste,50.8857,68.7425,66136
SUME,PB,Nordeste,53.3860,69.7081,16139
CAMPO DE SANTANA,PB,Nordeste,60.2475,68.7302,10330
TAPEROA,PB,Nordeste,61.5729,66.3850,15016
TAVARES,PB,Nordeste,63.6986,79.7575,14143
TEIXEIRA,PB,Nordeste,67.7492,75.1880,14255
TENORIO,PB,Nordeste,58.9777,72.4393,2840
TRIUNFO,PB,Nordeste,57.3610,81.1161,9233
UIRAUNA,PB,Nordeste,53.6924,65.2087,14654
UMBUZEIRO,PB,Nordeste,55.6492,63.0852,9307
VARZEA,PB,Nordeste,44.7236,61.7410,2539
VIEIROPOLIS,PB,Nordeste,65.7486,78.1284,5074
ZABELE,PB,Nordeste,57.0790,73.7327,2093
ABREU E LIMA,PE,Nordeste,44.3848,36.9897,94843
AFOGADOS DA INGAZEIRA,PE,Nordeste,53.8985,56.2287,35255
AFRANIO,PE,Nordeste,70.3171,68.6238,17784
AGRESTINA,PE,Nordeste,59.2636,69.6192,22882
AGUA PRETA,PE,Nordeste,79.6507,50.6625,33446
AGUAS BELAS,PE,Nordeste,72.9425,67.5600,40511
ALAGOINHA,PE,Nordeste,63.3065,77.3118,13853
ALIANCA,PE,Nordeste,66.2909,41.5089,37433
ALTINHO,PE,Nordeste,54.7943,49.1212,22371
AMARAJI,PE,Nordeste,63.1579,27.1155,21988
ANGELIM,PE,Nordeste,69.5797,69.5668,10288
ARACOIABA,PE,Nordeste,67.4269,30.5257,18390
ARARIPINA,PE,Nordeste,64.2486,74.2432,77794
ARCOVERDE,PE,Nordeste,40.4119,42.9701,69346
BARRA DE GUABIRABA,PE,Nordeste,68.3567,38.8566,12918
BARREIROS,PE,Nordeste,73.3525,36.8886,40855
BELEM DE MARIA,PE,Nordeste,68.9848,58.5613,11409
BELEM DE SAO FRANCISCO,PE,Nordeste,68.6716,71.3418,20257
BELO JARDIM,PE,Nordeste,49.2295,64.3183,72719
BETANIA,PE,Nordeste,72.0544,81.5171,12057
BEZERROS,PE,Nordeste,55.5533,57.1475,58768
BODOCO,PE,Nordeste,72.6579,77.6052,35422
BOM CONSELHO,PE,Nordeste,65.1830,71.5381,45747
BOM JARDIM,PE,Nordeste,63.6605,54.1004,37889
BONITO,PE,Nordeste,65.4391,47.9829,37552
BREJAO,PE,Nordeste,74.1167,62.2308,8839
BREJINHO,PE,Nordeste,58.8925,55.3430,7310
BREJO DA MADRE DE DEUS,PE,Nordeste,57.8046,52.2179,45723
BUENOS AIRES,PE,Nordeste,63.2184,52.3493,12578
BUIQUE,PE,Nordeste,76.3052,77.3269,52715
CABO DE SANTO AGOSTINHO,PE,Nordeste,26.8735,39.6745,187159
CABROBO,PE,Nordeste,70.6300,62.0362,31191
CACHOEIRINHA,PE,Nordeste,52.9642,63.5519,18956
CAETES,PE,Nordeste,75.5508,84.6226,26765
CALCADO,PE,Nordeste,60.3399,63.6886,11088
CALUMBI,PE,Nordeste,77.8047,79.6925,5646
CAMARAGIBE,PE,Nordeste,29.7549,25.5177,145676
CAMOCIM DE SAO FELIX,PE,Nordeste,64.7454,59.6493,17257
CAMUTANGA,PE,Nordeste,64.4435,46.4955,8180
CANHOTINHO,PE,Nordeste,60.2141,68.9948,24491
CAPOEIRAS,PE,Nordeste,69.2998,78.4174,19596
CARNAIBA,PE,Nordeste,56.1896,69.9714,18642
CARNAUBEIRA DA PENHA,PE,Nordeste,88.1453,84.4702,11888
CARPINA,PE,Nordeste,44.7523,31.8325,75706
CARUARU,PE,Nordeste,35.1813,31.6159,319580
CASINHAS,PE,Nordeste,70.3297,51.2372,13799
CATENDE,PE,Nordeste,66.5063,58.8853,38324
CEDRO,PE,Nordeste,68.2148,71.3175,10873
CHA DE ALEGRIA,PE,Nordeste,60.0058,27.3495,12504
CHA GRANDE,PE,Nordeste,60.7203,39.9032,20270
CONDADO,PE,Nordeste,56.2806,32.6974,24473
CORRENTES,PE,Nordeste,70.4922,74.4189,17491
CORTES,PE,Nordeste,73.2250,41.9041,12435
CUMARU,PE,Nordeste,65.8867,52.9886,17329
CUPIRA,PE,Nordeste,52.8955,57.5879,23468
CUSTODIA,PE,Nordeste,56.2784,78.0290,34154
DORMENTES,PE,Nordeste,54.5572,67.2373,17110
ESCADA,PE,Nordeste,55.6058,40.4280,63963
EXU,PE,Nordeste,76.7482,79.7111,31576
FEIRA NOVA,PE,Nordeste,61.6471,47.7187,20703
FERNANDO DE NORONHA,PE,Nordeste,1.0256,39.1093,2675
FERREIROS,PE,Nordeste,47.6497,41.8775,11484
FLORES,PE,Nordeste,65.4172,75.2680,22166
FLORESTA,PE,Nordeste,59.6503,74.3228,29635
FREI MIGUELINHO,PE,Nordeste,57.8149,52.5894,14394
GAMELEIRA,PE,Nordeste,72.6012,39.3569,28213
GARANHUNS,PE,Nordeste,45.5202,62.9875,130303
GLORIA DO GOITA,PE,Nordeste,57.6462,44.1236,29132
GOIANA,PE,Nordeste,52.1648,44.8670,75987
GRANITO,PE,Nordeste,70.8193,77.7576,6913
GRAVATA,PE,Nordeste,48.3172,44.0613,77164
IATI,PE,Nordeste,77.3904,81.6617,18412
IBIMIRIM,PE,Nordeste,72.4704,80.1450,27155
IBIRAJUBA,PE,Nordeste,60.5585,70.9543,7542
IGARASSU,PE,Nordeste,44.7687,40.9850,103537
IGUARACI,PE,Nordeste,66.2800,78.5214,11802
INAJA,PE,Nordeste,106.1283,85.9728,19527
INGAZEIRA,PE,Nordeste,60.3876,66.2172,4491
IPOJUCA,PE,Nordeste,41.6742,54.2128,82277
IPUBI,PE,Nordeste,69.6965,70.0550,28510
ITACURUBA,PE,Nordeste,61.6462,71.1689,4423
ITAIBA,PE,Nordeste,71.4082,72.1561,26215
ILHA DE ITAMARACA,PE,Nordeste,60.6072,44.5800,22347
ITAMBE,PE,Nordeste,54.8694,51.8041,35430
ITAPETIM,PE,Nordeste,55.0414,57.7833,13814
ITAPISSUMA,PE,Nordeste,55.9097,35.0510,24050
ITAQUITINGA,PE,Nordeste,60.2552,34.1016,15749
JABOATAO DOS GUARARAPES,PE,Nordeste,35.2758,30.4173,649788
JAQUEIRA,PE,Nordeste,71.3017,55.3685,11490
JATAUBA,PE,Nordeste,68.5197,62.8650,15909
JATOBA,PE,Nordeste,57.0347,75.6325,14026
JOAO ALFREDO,PE,Nordeste,60.4099,50.7366,31029
JOAQUIM NABUCO,PE,Nordeste,64.6382,39.3009,15762
JUCATI,PE,Nordeste,67.9491,66.6281,10674
JUPI,PE,Nordeste,60.7098,64.7165,13804
JUREMA,PE,Nordeste,70.3099,68.5104,14603
LAGOA DO CARRO,PE,Nordeste,59.2199,42.8131,16211
LAGOA DO ITAENGA,PE,Nordeste,47.5601,39.4014,20697
LAGOA DO OURO,PE,Nordeste,59.9706,85.4491,12221
LAGOA DOS GATOS,PE,Nordeste,59.8672,61.4803,15649
LAGOA GRANDE,PE,Nordeste,62.9825,61.9919,23039
LAJEDO,PE,Nordeste,51.3179,51.5599,36968
LIMOEIRO,PE,Nordeste,50.2256,45.8051,55391
MACAPARANA,PE,Nordeste,53.5854,44.3510,24035
MACHADOS,PE,Nordeste,61.8106,57.6320,13857
MANARI,PE,Nordeste,84.9216,79.0357,18472
MARAIAL,PE,Nordeste,78.3502,61.9911,12093
MIRANDIBA,PE,Nordeste,74.1216,76.1852,14400
MORENO,PE,Nordeste,51.6927,52.3495,57271
NAZARE DA MATA,PE,Nordeste,44.1702,30.9848,30915
OLINDA,PE,Nordeste,28.7430,30.2569,378538
OROBO,PE,Nordeste,53.7711,59.6844,22938
OROCO,PE,Nordeste,76.4619,72.2436,13361
OURICURI,PE,Nordeste,71.2076,81.1389,64944
PALMARES,PE,Nordeste,55.9756,58.2708,59813
PALMEIRINA,PE,Nordeste,68.7393,66.2076,8086
PANELAS,PE,Nordeste,61.8524,52.6242,25628
PARANATAMA,PE,Nordeste,71.0897,76.0685,11052
PARNAMIRIM,PE,Nordeste,68.1854,84.9598,20327
PASSIRA,PE,Nordeste,67.7880,54.6335,28590
PAUDALHO,PE,Nordeste,59.3962,30.9020,51835
PAULISTA,PE,Nordeste,27.4408,31.4284,303401
PEDRA,PE,Nordeste,71.4504,65.8279,20998
PESQUEIRA,PE,Nordeste,60.8450,75.9350,63320
PETROLANDIA,PE,Nordeste,59.9627,62.7567,32889
PETROLINA,PE,Nordeste,42.4121,51.1584,299752
POCAO,PE,Nordeste,70.1306,75.8087,11247
POMBOS,PE,Nordeste,60.6544,46.5913,24100
PRIMAVERA,PE,Nordeste,58.9004,33.5687,13560
QUIPAPA,PE,Nordeste,63.2024,54.1428,24343
QUIXABA,PE,Nordeste,70.1220,81.0010,6731
RECIFE,PE,Nordeste,25.7241,26.2045,1546516
RIACHO DAS ALMAS,PE,Nordeste,57.0787,52.9462,19277
RIBEIRAO,PE,Nordeste,56.4813,30.8193,44728
RIO FORMOSO,PE,Nordeste,62.9677,44.9268,22258
SAIRE,PE,Nordeste,59.9663,46.0891,11056
SALGADINHO,PE,Nordeste,67.2959,57.3377,9479
SALGUEIRO,PE,Nordeste,46.7461,65.6775,56992
SALOA,PE,Nordeste,66.4441,73.9789,15333
SANHARO,PE,Nordeste,54.3951,61.0153,22434
SANTA CRUZ,PE,Nordeste,68.5889,80.1880,13773
SANTA CRUZ DA BAIXA VERDE,PE,Nordeste,61.6192,73.5781,11836
SANTA CRUZ DO CAPIBARIBE,PE,Nordeste,42.9106,44.2254,89773
SANTA FILOMENA,PE,Nordeste,81.8257,79.7613,13468
SANTA MARIA DA BOA VISTA,PE,Nordeste,72.2511,76.3877,39629
SANTA MARIA DO CAMBUCA,PE,Nordeste,57.4716,39.3395,13120
SANTA TEREZINHA,PE,Nordeste,60.1459,50.7265,11048
SAO BENEDITO DO SUL,PE,Nordeste,69.4995,49.9563,14137
SAO BENTO DO UNA,PE,Nordeste,48.0592,61.9688,53847
SAO CAITANO,PE,Nordeste,47.3077,46.6212,35416
SAO JOAO,PE,Nordeste,69.3062,66.0613,21433
SAO JOAQUIM DO MONTE,PE,Nordeste,67.8947,59.7132,20538
SAO JOSE DA COROA GRANDE,PE,Nordeste,59.4688,33.1266,18504
SAO JOSE DO BELMONTE,PE,Nordeste,67.3592,80.3618,32692
SAO JOSE DO EGITO,PE,Nordeste,55.6220,54.1548,32011
SAO LOURENCO DA MATA,PE,Nordeste,44.4470,29.6459,103854
SAO VICENTE FERRER,PE,Nordeste,61.6760,57.5147,17077
SERRA TALHADA,PE,Nordeste,44.2891,69.3950,79871
SERRITA,PE,Nordeste,72.8879,77.4949,18369
SERTANIA,PE,Nordeste,61.6548,64.2523,33951
SIRINHAEM,PE,Nordeste,47.8474,22.4065,40853
MOREILANDIA,PE,Nordeste,77.8382,83.8229,11134
SOLIDAO,PE,Nordeste,73.7864,84.8896,5761
SURUBIM,PE,Nordeste,50.6995,49.0144,59144
TABIRA,PE,Nordeste,64.3989,76.4549,26609
TACAIMBO,PE,Nordeste,69.2682,68.5677,12710
TACARATU,PE,Nordeste,49.2091,75.5973,22450
TAMANDARE,PE,Nordeste,55.6990,33.3566,20979
TAQUARITINGA DO NORTE,PE,Nordeste,42.9771,36.8643,25298
TEREZINHA,PE,Nordeste,72.0955,72.7556,6771
TERRA NOVA,PE,Nordeste,69.1037,83.5024,9409
TIMBAUBA,PE,Nordeste,45.7993,43.5485,53589
TORITAMA,PE,Nordeste,40.6873,49.5794,36610
TRACUNHAEM,PE,Nordeste,67.0779,29.8156,13106
TRINDADE,PE,Nordeste,63.9252,77.6512,26438
TRIUNFO,PE,Nordeste,49.0440,64.6373,14997
TUPANATINGA,PE,Nordeste,68.1345,73.9369,24704
